sentence_id,chunk_id,subchunk_id,order_idx,char_start,char_end_incl,pali_text
s_000001_000_001,chunk_000001,,1,-1,305,"First FIVE CHUNKS (MAJJHIMA NIKĀYA)  ""AtDigha,Majjhima,Samyutta,AnguttaraNikayaComy_0024"",Namo tassa bhagavato arahato sammāsambuddhassa Majjhimanikāye Mūlapaṇṇāsa-aṭṭhakathā (Paṭhamo bhāgo) Ganthārambhakathā Karuṇāsītalahadayaṃ, paññāpajjotavihatamohatamaṃ; Sanarāmaralokagaruṃ, vande sugataṃ gativimuttaṃ."
s_000001_001_002,chunk_000001,sc_000001_001,2,308,410,"Buddhopi buddhabhāvaṃ, bhāvetvā ceva sacchikatvā ca; Yaṃ upagato gatamalaṃ, vande tamanuttaraṃ dhammaṃ."
s_000001_001_003,chunk_000001,sc_000001_001,3,412,507,"Sugatassa orasānaṃ, puttānaṃ mārasenamathanānaṃ; Aṭṭhannampi samūhaṃ, sirasā vande ariyasaṅghaṃ."
s_000001_001_004,chunk_000001,sc_000001_001,4,509,604,"Iti me pasannamatino, ratanattayavandanāmayaṃ puññaṃ; Yaṃ suvihatantarāyo, hutvā tassānubhāvena."
s_000001_001_005,chunk_000001,sc_000001_001,5,606,706,Majjhimapamāṇasuttaṅkitassa idha majjhimāgamavarassa; Buddhānubuddhasaṃvaṇṇitassa paravādamathanassa.
s_000001_001_006,chunk_000001,sc_000001_001,6,708,800,"Atthappakāsanatthaṃ, aṭṭhakathā ādito vasisatehi; Pañcahi yā saṅgītā, anusaṅgītā ca pacchāpi."
s_000001_001_007,chunk_000001,sc_000001_001,7,802,892,"Sīhaḷadīpaṃ pana ābhatātha vasinā mahāmahindena; Ṭhapitā sīhaḷabhāsāya, dīpavāsīnamatthāya."
s_000001_001_008,chunk_000001,sc_000001_001,8,894,987,"Apanetvāna tatohaṃ, sīhaḷabhāsaṃ manoramaṃ bhāsaṃ; Tantinayānucchavikaṃ, āropento vigatadosaṃ."
s_000001_001_009,chunk_000001,sc_000001_001,9,989,1080,"Samayaṃ avilomento, therānaṃ theravaṃsadīpānaṃ; Sunipuṇavinicchayānaṃ, mahāvihāre nivāsīnaṃ."
s_000001_001_010,chunk_000001,sc_000001_001,10,1082,1185,"Hitvā punappunāgatamatthaṃ, atthaṃ pakāsayissāmi; Sujanassa ca tuṭṭhatthaṃ, ciraṭṭhitatthañca dhammassa."
s_000001_001_011,chunk_000001,sc_000001_001,11,1187,1281,"Sīlakathā dhutadhammā, kammaṭṭhānāni ceva sabbāni; Cariyāvidhānasahito, jhānasamāpattivitthāro."
s_000001_001_012,chunk_000001,sc_000001_001,12,1283,1379,"Sabbā ca abhiññāyo, paññāsaṅkalananicchayo ceva; Khandhādhātāyatanindriyāni ariyāni ceva cattāri."
s_000001_001_013,chunk_000001,sc_000001_001,13,1381,1472,"Saccāni paccayākāradesanā suparisuddhanipuṇanayā; Avimuttatantimaggā, vipassanābhāvanā ceva."
s_000001_001_014,chunk_000001,sc_000001_001,14,1474,1680,"Iti pana sabbaṃ yasmā, visuddhimagge mayā suparisuddhaṃ; Vuttaṃ tasmā bhiyyo, na taṃ idha vicārayissāmi. ‘‘Majjhe visuddhimaggo, esa catunnampi āgamānañhi; Ṭhatvā pakāsayissati, tattha yathābhāsitamatthaṃ’’."
s_000001_001_015,chunk_000001,sc_000001_001,15,1682,1781,"Icceva kato tasmā, tampi gahetvāna saddhimetāya; Aṭṭhakathāya vijānatha, majjhimasaṅgītiyā atthanti."
s_000001_001_016,chunk_000001,sc_000001_001,16,1783,1796,Nidānakathā 1.
s_000001_001_017,chunk_000001,sc_000001_001,17,1798,1898,Tattha majjhimasaṅgīti nāma paṇṇāsato mūlapaṇṇāsā majjhimapaṇṇāsā uparipaṇṇāsāti paṇṇāsattayasaṅgahā.
s_000001_001_018,chunk_000001,sc_000001_001,18,1900,1972,Vaggato ekekāya paṇṇāsāya pañca pañca vagge katvā pannarasavaggasamāyogā.
s_000001_001_019,chunk_000001,sc_000001_001,19,1974,2016,Suttato diyaḍḍhasuttasataṃ dve ca suttantā.
s_000001_001_020,chunk_000001,sc_000001_001,20,2018,2071,Padato tevīsuttarapañcasatādhikāni asītipadasahassāni.
s_000001_001_021,chunk_000001,sc_000001_001,21,2073,2180,"Tenāhu porāṇā – ‘‘Asītipadasahassāni, bhiyyo pañcasatāni ca; Puna tevīsati vuttā, padamevaṃ vavatthita’’nti."
s_000001_001_022,chunk_000001,sc_000001_001,22,2182,2264,Akkharato satta akkharasatasahassāni cattālīsañca sahassāni tepaññāsañca akkharāni.
s_000001_001_023,chunk_000001,sc_000001_001,23,2266,2329,Bhāṇavārato asīti bhāṇavārā tevīsapadādhiko ca upaḍḍhabhāṇavāro.
s_000001_002_024,chunk_000001,sc_000001_002,24,2331,2424,Anusandhito pucchānusandhi-ajjhāsayānusandhi-yathānusandhivasena saṅkhepato tividho anusandhi.
s_000001_002_025,chunk_000001,sc_000001_002,25,2426,2490,Vitthārato panettha tīṇi anusandhisahassāni nava ca satāni honti.
s_000001_002_026,chunk_000001,sc_000001_002,26,2492,2596,"Tenāhu porāṇā – ‘‘Tīṇi sandhisahassāni, tathā navasatāni ca; Anusandhinayā ete, majjhimassa pakāsitā’’ti."
s_000001_002_027,chunk_000001,sc_000001_002,27,2598,2685,"Tattha paṇṇāsāsu mūlapaṇṇāsā ādi, vaggesu mūlapariyāyavaggo, suttesu mūlapariyāyasuttaṃ."
s_000001_002_028,chunk_000001,sc_000001_002,28,2687,2779,Tassāpi ‘‘evaṃ me suta’’ntiādikaṃ āyasmatā ānandena paṭhamamahāsaṅgītikāle vuttaṃ nidānamādi.
s_000001_002_029,chunk_000001,sc_000001_002,29,2781,2870,Sā panesā paṭhamamahāsaṅgīti sumaṅgalavilāsiniyā dīghanikāyaṭṭhakathāya ādimhi vitthāritā.
s_000001_002_030,chunk_000001,sc_000001_002,30,2872,2919,Tasmā sā tattha vitthāritanayeneva veditabbā. 1.
s_000001_002_031,chunk_000001,sc_000001_002,31,2921,2940,Mūlapariyāyavaggo 1.
s_000001_002_032,chunk_000001,sc_000001_002,32,2942,2968,Mūlapariyāyasuttavaṇṇanā 1.
s_000001_002_033,chunk_000001,sc_000001_002,33,2970,3015,Yaṃ panetaṃ ‘‘evaṃ me suta’’ntiādikaṃ nidānaṃ.
s_000001_002_034,chunk_000001,sc_000001_002,34,3017,3042,Tattha evanti nipātapadaṃ.
s_000001_002_035,chunk_000001,sc_000001_002,35,3044,3064,Metiādīni nāmapadāni.
s_000001_002_036,chunk_000001,sc_000001_002,36,3066,3178,"Ukkaṭṭhāyaṃ viharatīti ettha vīti upasaggapadaṃ, haratīti ākhyātapadanti iminā tāva nayena padavibhāgo veditabbo."
s_000001_002_037,chunk_000001,sc_000001_002,37,3180,3299,Atthato pana evaṃ-saddo tāva upamūpadesasampahaṃsanagarahaṇavacanasampaṭiggahākāranidassanāvadhāraṇādianekatthappabhedo.
s_000001_000_038,chunk_000001,,38,-1,1127,"Tathāhesa – ‘‘evaṃ jātena maccena kattabbaṃ kusalaṃ bahu’’nti evamādīsu (dha. pa. 53) upamāyaṃ āgato. ‘‘Evaṃ te abhikkamitabbaṃ, evaṃ te paṭikkamitabba’’ntiādīsu (a. ni. 4.122) upadese. ‘‘Evametaṃ bhagavā, evametaṃ sugatā’’tiādīsu (a. ni. 3.66) sampahaṃsane. ‘‘Evamevaṃ panāyaṃ vasalī yasmiṃ vā tasmiṃ vā tassa muṇḍakassa samaṇakassa vaṇṇaṃ bhāsatī’’tiādīsu (saṃ. ni. 1.187) garahaṇe. ‘‘Evaṃ bhanteti kho te bhikkhū bhagavato paccassosu’’ntiādīsu (ma. ni. 1.1) vacanasampaṭiggahe. ‘‘Evaṃ byākho ahaṃ, bhante, bhagavatā dhammaṃ desitaṃ ājānāmī’’tiādīsu (ma. ni. 1.398) ākāre. ‘‘Ehi tvaṃ, māṇavaka, yena samaṇo ānando tenupasaṅkama, upasaṅkamitvā mama vacanena samaṇaṃ, ānandaṃ, appābādhaṃ appātaṅkaṃ lahuṭṭhānaṃ balaṃ phāsuvihāraṃ puccha – ‘subho māṇavo todeyyaputto, bhavantaṃ ānandaṃ, appābādhaṃ appātaṅkaṃ lahuṭṭhānaṃ balaṃ phāsuvihāraṃ pucchatī’ti, evañca vadehi sādhu kira bhavaṃ ānando yena subhassa māṇavassa todeyyaputtassa nivesanaṃ, tenupasaṅkamatu anukampaṃ upādāyā’’tiādīsu (dī."" ""AtDigha,Majjhima,Samyutta,AnguttaraNikayaComy_0025"",""ni. 1.445) nidassane. ‘‘Taṃ kiṃ maññatha, kālāmā, ime dhammā kusalā vā akusalā vāti?"
s_000001_003_039,chunk_000001,sc_000001_003,39,4431,4446,"Akusalā, bhante."
s_000001_003_040,chunk_000001,sc_000001_003,40,4448,4472,Sāvajjā vā anavajjā vāti?
s_000001_003_041,chunk_000001,sc_000001_003,41,4474,4489,"Sāvajjā, bhante."
s_000001_003_042,chunk_000001,sc_000001_003,42,4491,4527,Viññugarahitā vā viññuppasatthā vāti?
s_000001_003_043,chunk_000001,sc_000001_003,43,4529,4550,"Viññugarahitā, bhante."
s_000001_003_044,chunk_000001,sc_000001_003,44,4552,4628,"Samattā samādinnā ahitāya dukkhāya saṃvattanti no vā, kathaṃ vo ettha hotīti?"
s_000001_003_045,chunk_000001,sc_000001_003,45,4630,4739,"Samattā, bhante, samādinnā ahitāya dukkhāya saṃvattanti, evaṃ no ettha hotī’’tiādīsu (a. ni. 3.66) avadhāraṇe."
s_000001_003_046,chunk_000001,sc_000001_003,46,4741,4787,Svāyamidha ākāranidassanāvadhāraṇesu daṭṭhabbo.
s_000001_003_047,chunk_000001,sc_000001_003,47,4789,5158,"Tattha ākāraṭṭhena evaṃsaddena etamatthaṃ dīpeti – nānānayanipuṇaṃ anekajjhāsayasamuṭṭhānaṃ atthabyañjanasampannaṃ vividhapāṭihāriyaṃ dhammatthadesanāpaṭivedhagambhīraṃ sabbasattānaṃ sakasakabhāsānurūpato sotapathamāgacchantaṃ tassa bhagavato vacanaṃ sabbappakārena ko samattho viññātuṃ, sabbathāmena pana sotukāmataṃ janetvāpi evaṃ me sutaṃ, mayāpi ekenākārena sutanti."
s_000001_003_048,chunk_000001,sc_000001_003,48,5160,5318,"Nidassanaṭṭhena ‘‘nāhaṃ sayambhū, na mayā idaṃ sacchikata’’nti attānaṃ parimocento evaṃ me sutaṃ, mayāpi evaṃ sutanti idāni vattabbaṃ sakalaṃ suttaṃ nidasseti."
s_000001_003_049,chunk_000001,sc_000001_003,49,5320,5837,"Avadhāraṇaṭṭhena ‘‘etadaggaṃ, bhikkhave, mama sāvakānaṃ bhikkhūnaṃ bahussutānaṃ yadidaṃ ānando, gatimantānaṃ, satimantānaṃ, dhitimantānaṃ, upaṭṭhākānaṃ yadidaṃ ānando’’ti (a. ni. 1.219-223) evaṃ bhagavatā, ‘‘āyasmā ānando atthakusalo dhammakusalo byañjanakusalo niruttikusalo pubbāparakusalo’’ti (a. ni. 5.169) evaṃ dhammasenāpatinā ca pasatthabhāvānurūpaṃ attano dhāraṇabalaṃ dassento sattānaṃ sotukamyataṃ janeti ‘‘evaṃ me sutaṃ, tañca kho atthato vā byañjanato vā anūnamanadhikaṃ, evameva na aññathā daṭṭhabba’’nti."
s_000001_003_050,chunk_000001,sc_000001_003,50,5839,5868,Me-saddo tīsu atthesu dissati.
s_000001_003_051,chunk_000001,sc_000001_003,51,5870,6121,"Tathā hissa ‘‘gāthābhigītaṃ me abhojaneyya’’ntiādīsu (su. ni. 81) mayāti attho. ‘‘Sādhu me, bhante bhagavā, saṃkhittena dhammaṃ desetū’’tiādīsu (saṃ. ni. 4.88) mayhanti attho. ‘‘Dhammadāyādā me, bhikkhave, bhavathā’’tiādīsu (ma. ni. 1.29) mamāti attho."
s_000001_004_052,chunk_000001,sc_000001_004,52,6123,6191,Idha pana ‘‘mayā suta’’nti ca ‘‘mama suta’’nti ca atthadvaye yujjati.
s_000001_004_053,chunk_000001,sc_000001_004,53,6193,6336,Sutanti ayaṃ suta-saddo saupasaggo ca anupasaggo ca gamana-vissuta-kilinna-upacitānuyoga-sotaviññeyya-sotadvārānusāraviññātādianekatthappabhedo.
s_000001_004_054,chunk_000001,sc_000001_004,54,6338,6838,"Tathā hissa ‘‘senāya pasuto’’tiādīsu gacchantoti attho. ‘‘Sutadhammassa passato’’tiādīsu (udā. 11) vissutadhammassāti attho, ‘‘avassutā avassutassāti’’ādīsu (pāci. 657) kilinnā kilinnassāti attho. ‘‘Tumhehi puññaṃ pasutaṃ anappaka’’ntiādīsu (khu. pā. 7.12) upacitanti attho. ‘‘Ye jhānapasutā dhīrā’’tiādīsu (dha. pa. 181) jhānānuyuttāti attho. ‘‘Diṭṭhaṃ sutaṃ muta’’ntiādīsu (ma. ni. 1.241) sotaviññeyyanti attho. ‘‘Sutadharo sutasannicayo’’tiādīsu (ma. ni. 1.339) sotadvārānusāraviññātadharoti attho."
s_000001_004_055,chunk_000001,sc_000001_004,55,6840,6920,Idha panassa sotadvārānusārena ‘‘upadhārita’’nti vā ‘‘upadhāraṇa’’nti vāti attho.
s_000001_004_056,chunk_000001,sc_000001_004,56,6922,7014,Me-saddassa hi mayāti atthe sati ‘‘evaṃ mayā sutaṃ sotadvārānusārena upadhārita’’nti yujjati.
s_000001_004_057,chunk_000001,sc_000001_004,57,7016,7093,Mamāti atthe sati ‘‘evaṃ mama sutaṃ sotadvārānusārena upadhāraṇa’’nti yujjati.
s_000001_004_058,chunk_000001,sc_000001_004,58,7095,7159,Evametesu tīsu padesu evanti sotaviññāṇādiviññāṇakiccanidassanaṃ.
s_000001_004_059,chunk_000001,sc_000001_004,59,7161,7202,Meti vuttaviññāṇasamaṅgipuggalanidassanaṃ.
s_000001_004_060,chunk_000001,sc_000001_004,60,7204,7276,Sutanti assavanabhāvappaṭikkhepato anūnānadhikāviparītaggahaṇanidassanaṃ.
s_000001_004_061,chunk_000001,sc_000001_004,61,7278,7385,Tathā evanti tassā sotadvārānusārena pavattāya viññāṇavīthiyā nānappakārena ārammaṇe pavattibhāvappakāsanaṃ.
s_000001_004_062,chunk_000001,sc_000001_004,62,7387,7406,Meti attappakāsanaṃ.
s_000001_004_063,chunk_000001,sc_000001_004,63,7408,7432,Sutanti dhammappakāsanaṃ.
s_000001_004_064,chunk_000001,sc_000001_004,64,7434,7562,"Ayañhettha saṅkhepo ‘‘nānappakārena ārammaṇe pavattāya viññāṇavīthiyā mayā na aññaṃ kataṃ, idaṃ pana kataṃ, ayaṃ dhammo suto’’ti."
s_000001_004_065,chunk_000001,sc_000001_004,65,7564,7599,Tathā evanti niddisitabbappakāsanaṃ.
s_000001_004_066,chunk_000001,sc_000001_004,66,7601,7623,Meti puggalappakāsanaṃ.
s_000001_004_067,chunk_000001,sc_000001_004,67,7625,7655,Sutanti puggalakiccappakāsanaṃ.
s_000001_004_068,chunk_000001,sc_000001_004,68,7657,7722,"Idaṃ vuttaṃ hoti – yaṃ suttaṃ niddisissāmi, taṃ mayā evaṃ sutanti."
s_000001_004_069,chunk_000001,sc_000001_004,69,7724,7830,"Tathā evanti yassa cittasantānassa nānākārappavattiyā nānatthabyañjanaggahaṇaṃ hoti, tassa nānākāraniddeso."
s_000001_004_070,chunk_000001,sc_000001_004,70,7832,7902,"Evanti hi ayaṃ ākārapaññatti, meti kattuniddeso, sutanti visayaniddeso."
s_000001_004_071,chunk_000001,sc_000001_004,71,7904,8001,Ettāvatā nānākārappavattena cittasantānena taṃsamaṅgino kattuvisaye gahaṇasanniṭṭhānaṃ kataṃ hoti.
s_000001_004_072,chunk_000001,sc_000001_004,72,8003,8037,Atha vā evanti puggalakiccaniddeso.
s_000001_004_073,chunk_000001,sc_000001_004,73,8039,8066,Sutanti viññāṇakiccaniddeso.
s_000001_004_074,chunk_000001,sc_000001_004,74,8068,8103,Meti ubhayakiccayuttapuggalaniddeso.
s_000001_004_075,chunk_000001,sc_000001_004,75,8105,8220,Ayaṃ panettha saṅkhepo – mayā savanakiccaviññāṇasamaṅginā puggalena viññāṇavasena laddhasavanakiccavohārena sutanti.
s_000001_004_076,chunk_000001,sc_000001_004,76,8222,8293,Tattha evanti ca meti ca saccikaṭṭhaparamatthavasena avijjamānapaññatti.
